provinsi,komoditas,h,metode,mase,dipakai,dipakai_kom,penyesalan
Sumatera Selatan,Beras,2,hanyut,1.171,naif,naif,0.0
Sumatera Selatan,Beras,3,hanyut,1.218,naif,naif,0.0
Sumatera Selatan,Cabai Besar,1,hanyut,1.043,naif,naif,0.0
Sumatera Selatan,Cabai Besar,2,hanyut,1.078,naif,naif,0.0
Sumatera Selatan,Cabai Besar,3,campuran,0.953,naif,campuran,-0.047
Sumatera Selatan,Cabai Rawit,1,campuran,0.98,naif,campuran,-0.02
Sumatera Selatan,Cabai Rawit,2,campuran,0.914,campuran,campuran,0.0
Sumatera Selatan,Cabai Rawit,3,campuran,0.883,campuran,campuran,0.0
Sumatera Utara,Bawang Merah,1,campuran,0.884,campuran,naif,0.116
Sumatera Utara,Bawang Merah,2,campuran,0.88,campuran,campuran,0.0
Sumatera Utara,Bawang Merah,3,campuran,0.922,campuran,campuran,0.0
Sumatera Utara,Beras,1,hanyut,1.033,naif,naif,0.0
Sumatera Utara,Beras,2,hanyut,1.119,naif,naif,0.0
Sumatera Utara,Beras,3,hanyut,1.208,naif,naif,0.0
Sumatera Utara,Cabai Rawit,1,campuran,0.933,campuran,campuran,0.0
Sumatera Utara,Cabai Rawit,2,musiman,0.704,musiman,campuran,0.102
Sumatera Utara,Cabai Rawit,3,musiman,0.633,musiman,campuran,0.114
